kind,id,name,fieldsToReview,basis
denizen,181,Second Chance,rulesText,official base data or visual review of print card
denizen,182,Pied Piper,rulesText,official base data or visual review of print card
denizen,183,Mushrooms,rulesText,official base data or visual review of print card
denizen,184,Insect Swarm,rulesText,official base data or visual review of print card
denizen,187,War Tortoise,rulesText,official base data or visual review of print card
denizen,188,New Growth,rulesText,official base data or visual review of print card
denizen,189,Wild Cry,rulesText,official base data or visual review of print card
denizen,190,Animal Host,rulesText,official base data or visual review of print card
denizen,191,Memory of Nature,rulesText,official base data or visual review of print card
denizen,192,Marsh Spirit,rulesText,official base data or visual review of print card
denizen,193,Vow of Poverty,rulesText,official base data or visual review of print card
denizen,195,Walled Garden,rulesText,official base data or visual review of print card
denizen,196,Vow of Beastkin,rulesText,official base data or visual review of print card
denizen,198,Wild Allies,rulesText,official base data or visual review of print card
denizen,12,Mercenaries,rulesText,official base data or visual review of print card
denizen,15,A Small Favor,rulesText,official base data or visual review of print card
denizen,16,Second Wind,rulesText,official base data or visual review of print card
denizen,17,Sleight of Hand,rulesText,official base data or visual review of print card
denizen,18,Key to the City,rulesText,official base data or visual review of print card
denizen,19,Scryer,rulesText,official base data or visual review of print card
denizen,21,Naysayers,rulesText,official base data or visual review of print card
denizen,79,Charlatan,rulesText,official base data or visual review of print card
denizen,80,Assassin,rulesText,official base data or visual review of print card
denizen,81,Downtrodden,rulesText,official base data or visual review of print card
denizen,82,Blackmail,rulesText,official base data or visual review of print card
denizen,83,Cracked Sage,rulesText,official base data or visual review of print card
denizen,84,Dissent,rulesText,official base data or visual review of print card
denizen,85,False Prophet,rulesText,official base data or visual review of print card
denizen,87,Zealots,rulesText,official base data or visual review of print card
denizen,90,Beast Tamer,rulesText,official base data or visual review of print card
denizen,92,Silver Tongue,rulesText,official base data or visual review of print card
denizen,93,Gambling Hall,rulesText,official base data or visual review of print card
denizen,96,Enchantress,rulesText,official base data or visual review of print card
denizen,97,Insomnia,rulesText,official base data or visual review of print card
denizen,98,Sneak Attack,rulesText,official base data or visual review of print card
denizen,101,Chaos Cult,rulesText,official base data or visual review of print card
denizen,47,Wayside Inn,rulesText,official base data or visual review of print card
denizen,48,Extra Provisions,rulesText,official base data or visual review of print card
denizen,50,Welcoming Party,rulesText,official base data or visual review of print card
denizen,51,Traveling Doctor,rulesText,official base data or visual review of print card
denizen,52,Storyteller,rulesText,official base data or visual review of print card
denizen,53,Armed Mob,rulesText,official base data or visual review of print card
denizen,54,Tavern Songs,rulesText,official base data or visual review of print card
denizen,127,Homesteaders,rulesText,official base data or visual review of print card
denizen,128,Crop Rotation,rulesText,official base data or visual review of print card
denizen,130,Land Warden,rulesText,official base data or visual review of print card
denizen,131,Charming Friend,rulesText,official base data or visual review of print card
denizen,132,Village Constable,rulesText,official base data or visual review of print card
denizen,133,Family Heirloom,rulesText,official base data or visual review of print card
denizen,134,News from Afar,rulesText,official base data or visual review of print card
denizen,135,Levelers,rulesText,official base data or visual review of print card
denizen,136,Fabled Feast,rulesText,official base data or visual review of print card
denizen,137,The Great Levy,rulesText,official base data or visual review of print card
denizen,138,Hearts and Minds,rulesText,official base data or visual review of print card
denizen,140,Book Binders,rulesText,official base data or visual review of print card
denizen,142,Saddle Makers,rulesText,official base data or visual review of print card
denizen,143,Herald,rulesText,official base data or visual review of print card
denizen,144,Rowdy Pub,rulesText,official base data or visual review of print card
denizen,145,Vow of Peace,rulesText,official base data or visual review of print card
denizen,147,Salad Days,rulesText,official base data or visual review of print card
denizen,148,Marriage,rulesText,official base data or visual review of print card
denizen,149,Hospital,rulesText,official base data or visual review of print card
denizen,150,Awaited Return,rulesText,official base data or visual review of print card
denizen,14,Rain Boots,rulesText,official base data or visual review of print card
denizen,23,Ancient Binding,rulesText,official base data or visual review of print card
denizen,24,Horse Archers,rulesText,official base data or visual review of print card
denizen,25,Warning Signals,rulesText,official base data or visual review of print card
denizen,26,Elders,rulesText,official base data or visual review of print card
denizen,27,The Gathering,rulesText,official base data or visual review of print card
denizen,28,Faithful Friend,rulesText,official base data or visual review of print card
denizen,29,Tents,rulesText,official base data or visual review of print card
denizen,30,Great Herd,rulesText,official base data or visual review of print card
denizen,151,Convoys,rulesText,official base data or visual review of print card
denizen,152,Vow of Kinship,rulesText,official base data or visual review of print card
denizen,153,Wild Mounts,rulesText,official base data or visual review of print card
denizen,154,Lancers,rulesText,official base data or visual review of print card
denizen,155,Mountain Giant,rulesText,official base data or visual review of print card
denizen,156,Rival Khan,rulesText,official base data or visual review of print card
denizen,157,Lost Tongue,rulesText,official base data or visual review of print card
denizen,158,Special Envoy,rulesText,official base data or visual review of print card
denizen,159,Resettle,rulesText,official base data or visual review of print card
denizen,160,Oracle,rulesText,official base data or visual review of print card
denizen,161,Pilgrimage,rulesText,official base data or visual review of print card
denizen,162,Spell Breaker,rulesText,official base data or visual review of print card
denizen,163,Mounted Patrol,rulesText,official base data or visual review of print card
denizen,164,Great Crusade,rulesText,official base data or visual review of print card
denizen,165,Ancient Bloodline,rulesText,official base data or visual review of print card
denizen,167,Storm Caller,rulesText,official base data or visual review of print card
denizen,169,Way Station,rulesText,official base data or visual review of print card
denizen,170,Twin Brother,rulesText,official base data or visual review of print card
denizen,171,Hospitality,rulesText,official base data or visual review of print card
denizen,172,A Fast Steed,rulesText,official base data or visual review of print card
denizen,1,Wrestlers,rulesText,official base data or visual review of print card
denizen,2,Battle Honors,rulesText,official base data or visual review of print card
denizen,3,Bear Traps,rulesText,official base data or visual review of print card
denizen,4,Longbows,rulesText,official base data or visual review of print card
denizen,6,Pressgangs,rulesText,official base data or visual review of print card
denizen,7,Garrison,rulesText,official base data or visual review of print card
denizen,8,Scouts,rulesText,official base data or visual review of print card
denizen,103,Code of Honor,rulesText,official base data or visual review of print card
denizen,104,Outriders,rulesText,official base data or visual review of print card
denizen,105,Messenger,rulesText,official base data or visual review of print card
denizen,106,Field Promotion,rulesText,official base data or visual review of print card
denizen,107,Palanquin,rulesText,official base data or visual review of print card
denizen,108,Shield Wall,rulesText,official base data or visual review of print card
denizen,109,Military Parade,rulesText,official base data or visual review of print card
denizen,111,Tyrant,rulesText,official base data or visual review of print card
denizen,112,Forced Labor,rulesText,official base data or visual review of print card
denizen,113,Secret Police,rulesText,official base data or visual review of print card
denizen,114,Specialist,rulesText,official base data or visual review of print card
denizen,115,Captains,rulesText,official base data or visual review of print card
denizen,116,Siege Engines,rulesText,official base data or visual review of print card
denizen,117,Royal Tax,rulesText,official base data or visual review of print card
denizen,118,Toll Roads,rulesText,official base data or visual review of print card
denizen,119,Curfew,rulesText,official base data or visual review of print card
denizen,120,Knights Errant,rulesText,official base data or visual review of print card
denizen,121,Vow of Obedience,rulesText,official base data or visual review of print card
denizen,122,Hunting Party,rulesText,official base data or visual review of print card
denizen,123,Council Seat,rulesText,official base data or visual review of print card
denizen,124,Encirclement,rulesText,official base data or visual review of print card
denizen,125,Peace Envoy,rulesText,official base data or visual review of print card
denizen,126,Relic Hunter,rulesText,official base data or visual review of print card
denizen,9,Alchemist,rulesText,official base data or visual review of print card
denizen,32,Magician's Code,rulesText,official base data or visual review of print card
denizen,38,Inquisitor,rulesText,official base data or visual review of print card
denizen,58,Quick Exit,rulesText,official base data or visual review of print card
denizen,67,Bewitch,rulesText,official base data or visual review of print card
denizen,74,Vow of Silence,rulesText,official base data or visual review of print card
denizen,75,Forgotten Vault,rulesText,official base data or visual review of print card
denizen,199,Golem Legions,rulesText,official base data or visual review of print card
denizen,200,Council Arbiter,rulesText,official base data or visual review of print card
denizen,201,Catacombs,rulesText,official base data or visual review of print card
denizen,202,Ward of Silence,rulesText,official base data or visual review of print card
denizen,203,Vow of Wisdom,rulesText,official base data or visual review of print card
denizen,204,Arcane Brokers,rulesText,official base data or visual review of print card
denizen,205,Disciples,rulesText,official base data or visual review of print card
denizen,206,Arcane Armor,rulesText,official base data or visual review of print card
denizen,207,Glamor,rulesText,official base data or visual review of print card
denizen,208,Wizard's Conclave,rulesText,official base data or visual review of print card
denizen,44,Long-Lost Heir,rulesText,official base data or visual review of print card
denizen,185,Vow of Union,rulesText,official base data or visual review of print card
denizen,186,Giant Python,rulesText,official base data or visual review of print card
denizen,194,Forest Council,rulesText,official base data or visual review of print card
denizen,197,Bracken,rulesText,official base data or visual review of print card
denizen,209,True Oath,rulesText,official base data or visual review of print card
denizen,210,Bog,rulesText,official base data or visual review of print card
denizen,211,Whispering Leaves,rulesText,official base data or visual review of print card
denizen,212,Bed of Roots,rulesText,official base data or visual review of print card
denizen,213,Autumn Wind,rulesText,official base data or visual review of print card
denizen,214,Shifting Fog,rulesText,official base data or visual review of print card
denizen,215,Fae Battalion,rulesText,official base data or visual review of print card
denizen,216,Hunger,rulesText,official base data or visual review of print card
denizen,217,Signal Trees,rulesText,official base data or visual review of print card
denizen,218,Forest Garden,rulesText,official base data or visual review of print card
denizen,20,Disgraced Captain,rulesText,official base data or visual review of print card
denizen,22,Book Burning,rulesText,official base data or visual review of print card
denizen,86,Vow of Division,rulesText,official base data or visual review of print card
denizen,88,Royal Ambitions,rulesText,official base data or visual review of print card
denizen,89,Salt the Earth,rulesText,official base data or visual review of print card
denizen,91,Riots,rulesText,official base data or visual review of print card
denizen,95,Relic Thief,rulesText,official base data or visual review of print card
denizen,99,Gossip,rulesText,official base data or visual review of print card
denizen,100,Bandit Chief,rulesText,official base data or visual review of print card
denizen,102,Defame,rulesText,official base data or visual review of print card
denizen,219,Bandit Paymaster,rulesText,official base data or visual review of print card
denizen,220,Reliquary Raid,rulesText,official base data or visual review of print card
denizen,221,Tracker,rulesText,official base data or visual review of print card
denizen,222,Banner Breakers,rulesText,official base data or visual review of print card
denizen,223,Pledge to Discord,rulesText,official base data or visual review of print card
denizen,224,Friendly Familiar,rulesText,official base data or visual review of print card
denizen,225,Unstable Summon,rulesText,official base data or visual review of print card
denizen,226,Bandit Prince,rulesText,official base data or visual review of print card
denizen,227,Dark Enforcer,rulesText,official base data or visual review of print card
denizen,228,Spoiled Supplies,rulesText,official base data or visual review of print card
denizen,13,Tinker's Fair,rulesText,official base data or visual review of print card
denizen,49,Memory of Home,rulesText,official base data or visual review of print card
denizen,129,A Round of Ale,rulesText,official base data or visual review of print card
denizen,139,Relic Breaker,rulesText,official base data or visual review of print card
denizen,141,Ballot Box,rulesText,official base data or visual review of print card
denizen,146,Deed Writer,rulesText,official base data or visual review of print card
denizen,229,Old Songs,rulesText,official base data or visual review of print card
denizen,230,Diplomat,rulesText,official base data or visual review of print card
denizen,231,Village Idiot,rulesText,official base data or visual review of print card
denizen,232,Spinning Bee,rulesText,official base data or visual review of print card
denizen,233,Firebrand,rulesText,official base data or visual review of print card
denizen,234,Watchdog,rulesText,official base data or visual review of print card
denizen,235,Favored Son,rulesText,official base data or visual review of print card
denizen,236,Town Meeting,rulesText,official base data or visual review of print card
denizen,237,League Treaty,rulesText,official base data or visual review of print card
denizen,238,Skilled Merchants,rulesText,official base data or visual review of print card
denizen,166,Ancient Pact,rulesText,official base data or visual review of print card
denizen,168,Family Wagon,rulesText,official base data or visual review of print card
denizen,173,Relic Worship,rulesText,official base data or visual review of print card
denizen,239,Tribute Spoils,rulesText,official base data or visual review of print card
denizen,240,Search Party,rulesText,official base data or visual review of print card
denizen,241,Moving Market,rulesText,official base data or visual review of print card
denizen,242,Traveling Negotiator,rulesText,official base data or visual review of print card
denizen,243,Pledge of Defense,rulesText,official base data or visual review of print card
denizen,244,The Red Seer,rulesText,official base data or visual review of print card
denizen,245,Royal Stables,rulesText,official base data or visual review of print card
denizen,246,Call for Help,rulesText,official base data or visual review of print card
denizen,247,Vow of Wandering,rulesText,official base data or visual review of print card
denizen,248,Mounted Library,rulesText,official base data or visual review of print card
denizen,5,Keep,rulesText,official base data or visual review of print card
denizen,10,Martial Culture,rulesText,official base data or visual review of print card
denizen,249,Master at Arms,rulesText,official base data or visual review of print card
denizen,250,Baron,rulesText,official base data or visual review of print card
denizen,251,Honor Guard,rulesText,official base data or visual review of print card
denizen,252,City Wall,rulesText,official base data or visual review of print card
denizen,253,Fearsome General,rulesText,official base data or visual review of print card
denizen,254,Careful Plans,rulesText,official base data or visual review of print card
denizen,255,Garrison Armory,rulesText,official base data or visual review of print card
denizen,256,Battle Axes,rulesText,official base data or visual review of print card
denizen,257,Great Feast,rulesText,official base data or visual review of print card
denizen,258,Quartermaster,rulesText,official base data or visual review of print card
relic,R01,Sticky Fire,value;defense;rulesText,visual review of print card
relic,R02,Cursed Cauldron,value;defense;rulesText,visual review of print card
relic,R04,Truthful Harp,value;defense;rulesText,visual review of print card
relic,R05,Grand Mask,value;defense;rulesText,visual review of print card
relic,R07,Cup of Plenty,value;defense;rulesText,visual review of print card
relic,R08,Whistle,value;defense;rulesText,visual review of print card
relic,R10,Cracked Horn,value;defense;rulesText,visual review of print card
relic,R11,Bandit Crown,value;defense;rulesText,visual review of print card
relic,R03,Brass Horse,value;defense;rulesText,visual review of print card
relic,R06,Horned Mask,value;defense;rulesText,visual review of print card
relic,R09,Dowsing Sticks,value;defense;rulesText,visual review of print card
relic,R12,Ring of Devotion,value;defense;rulesText,visual review of print card
relic,R13,Skeleton Key,value;defense;rulesText,visual review of print card
relic,R14,Oracular Pig,value;defense;rulesText,visual review of print card
relic,R16,Ivory Eye,value;defense;rulesText,visual review of print card
relic,R17,Shifting Map,value;defense;rulesText,visual review of print card
relic,R19,Book of Records,value;defense;rulesText,visual review of print card
relic,R20,Dragonskin Drum,value;defense;rulesText,visual review of print card
relic,R22,Ancient Writ,value;defense;rulesText,visual review of print card
relic,R23,Painted Trumpet,value;defense;rulesText,visual review of print card
relic,R15,Circlet of Command,value;defense;rulesText,visual review of print card
relic,R18,Obsidian Cage,value;defense;rulesText,visual review of print card
relic,R21,Crystal Vial,value;defense;rulesText,visual review of print card
relic,R24,Bone Dice,value;defense;rulesText,visual review of print card
relic,R25,Brass Army,value;defense;rulesText,visual review of print card
relic,R26,Imperial Seal,value;defense;rulesText,visual review of print card
relic,R28,Singing Mask,value;defense;rulesText,visual review of print card
relic,R29,Lost Tapestry,value;defense;rulesText,visual review of print card
relic,R31,Silver Charm,value;defense;rulesText,visual review of print card
relic,R32,Amber Flame,value;defense;rulesText,visual review of print card
relic,R34,Whispering Stone,value;defense;rulesText,visual review of print card
relic,R35,Black Sword,value;defense;rulesText,visual review of print card
relic,R27,Fearsome Shield,value;defense;rulesText,visual review of print card
relic,R30,Bandit Standard,value;defense;rulesText,visual review of print card
relic,R33,Wine of Welcome,value;defense;rulesText,visual review of print card
relic,R36,Barbed Net,value;defense;rulesText,visual review of print card
relic,R37,Bag of Siegeworks,value;defense;rulesText,visual review of print card
relic,R38,Secret Testament,value;defense;rulesText,visual review of print card
relic,R40,Yew Staff,value;defense;rulesText,visual review of print card
relic,R39,Magic Carpet,value;defense;rulesText,visual review of print card
relic,R43,Sigil of the Eye,value;defense;rulesText,visual review of print card
relic,R41,Spiteful Mirror,value;defense;rulesText,visual review of print card
relic,R46,Demon Tail,value;defense;rulesText,visual review of print card
relic,R47,Clay Rattle,value;defense;rulesText,visual review of print card
relic,R42,Weeping Banner,value;defense;rulesText,visual review of print card
relic,R44,Sigil of the Heart,value;defense;rulesText,visual review of print card
relic,R45,Magic Waterskin,value;defense;rulesText,visual review of print card
relic,grand-scepter,The Grand Scepter,value;defense;rulesText,visual review of print card
edifice,E01,Hall of Debate / Hall of Mockery,rulesText,visual overrides plus normalized OCR
edifice,E02,Great Market / Bandit Market,rulesText,visual overrides plus normalized OCR
edifice,E03,Grand Canal / Lost Lagoon,rulesText,visual overrides plus normalized OCR
edifice,E04,Stone Baths / Ruined Baths,rulesText,visual overrides plus normalized OCR
edifice,E05,Amber Doors / Lost Doors,rulesText,visual overrides plus normalized OCR
edifice,E06,Great Forge / Broken Forge,rulesText,visual overrides plus normalized OCR
edifice,E07,Wild Pastures / Blasted Pastures,rulesText,visual overrides plus normalized OCR
edifice,E08,Sacred Ground / Desecrated Ground,rulesText,visual overrides plus normalized OCR
edifice,E09,Giant's Path / Giant's Rampage,rulesText,visual overrides plus normalized OCR
edifice,E10,Temple of Ancestors / Ruined Temple,rulesText,visual overrides plus normalized OCR
edifice,E11,Great Spire / Fallen Spire,rulesText,visual overrides plus normalized OCR
edifice,E12,Great Clock / Broken Clock,rulesText,visual overrides plus normalized OCR
edifice,E13,Underground Library / Drowned Library,rulesText,visual overrides plus normalized OCR
edifice,E14,Stone Portal / Shattered Portal,rulesText,visual overrides plus normalized OCR
edifice,E15,Marble Fountains / Murky Fountain,rulesText,visual overrides plus normalized OCR
edifice,E16,Hall of Ministers / Hall of Bandits,rulesText,visual overrides plus normalized OCR
edifice,E17,Relic Patrols / Bandit Patrols,rulesText,visual overrides plus normalized OCR
edifice,E18,Tome Guardians / Lost Guardians,rulesText,visual overrides plus normalized OCR
edifice,E19,The Tribunal / Bandit Tribunal,rulesText,visual overrides plus normalized OCR
edifice,E20,Towering Rampart / Cracked Rampart,rulesText,visual overrides plus normalized OCR
edifice,E21,Festival District / Squalid District,rulesText,visual overrides plus normalized OCR
edifice,E22,Proving Grounds / Empty Grounds,rulesText,visual overrides plus normalized OCR
edifice,E23,Spiral Castle / Spiral Dungeons,rulesText,visual overrides plus normalized OCR
edifice,E24,Boiling Lake / Still Boiling Lake,rulesText,visual overrides plus normalized OCR
edifice,E25,Hidden Passages / Sinking Passages,rulesText,visual overrides plus normalized OCR
edifice,E26,Hallowed Spring / Hiding Place,rulesText,visual overrides plus normalized OCR
edifice,E27,School of Vines / Ruined School,rulesText,visual overrides plus normalized OCR
edifice,E28,Oaken Fortress / Rotting Fortress,rulesText,visual overrides plus normalized OCR
edifice,E29,Forbidden Forest / Bandit Forest,rulesText,visual overrides plus normalized OCR
edifice,E30,Forest Horn / Broken Horn,rulesText,visual overrides plus normalized OCR
legacy,L01,Iron Hand,rulesText,visual review of print card
legacy,L02,Chronicler,rulesText,visual review of print card
legacy,L03,Steadfast,rulesText,visual review of print card
legacy,L04,Peacemaker,rulesText,visual review of print card
legacy,L05,The Needle,rulesText,visual review of print card
legacy,L06,Circle of Swords,rulesText,visual review of print card
legacy,L07,Great Architect,rulesText,visual review of print card
legacy,L08,Ancestral Lands,rulesText,visual review of print card
legacy,L09,Scepter Bearer,rulesText,visual review of print card
legacy,L10,Royal Line,rulesText,visual review of print card
legacy,L11,Keeper of Order,rulesText,visual review of print card
legacy,L12,Golden Key,rulesText,visual review of print card
legacy,L13,World Crafter,rulesText,visual review of print card
legacy,L14,Matchmaker,rulesText,visual review of print card
legacy,L15,Revolutionary,rulesText,visual review of print card
legacy,L16,Populist,rulesText,visual review of print card
legacy,L17,Rival,rulesText,visual review of print card
legacy,L19,The Ear,rulesText,visual review of print card
legacy,L21,High Priest,rulesText,visual review of print card
legacy,L23,Arbiter,rulesText,visual review of print card
legacy,L18,The Standard Bearer,rulesText,visual review of print card
legacy,L20,Heirloom,rulesText,visual review of print card
legacy,L22,Seer,rulesText,visual review of print card
legacy,L24,The Bright Beacon,rulesText,visual review of print card
legacy,L25,Oaths of Loyalty,rulesText,visual review of print card
legacy,L26,Conspirator,rulesText,visual review of print card
legacy,L27,Light Fingers,rulesText,visual review of print card
legacy,L28,Secret Society,rulesText,visual review of print card
legacy,L29,Ruthless,rulesText,visual review of print card
legacy,L30,Quest to Distant Lands,rulesText,visual review of print card
legacy,L31,Wealthy,rulesText,visual review of print card
legacy,L32,Gatekeeper,rulesText,visual review of print card
legacy,L33,Beloved,rulesText,visual review of print card
legacy,L34,The Mouth,rulesText,visual review of print card
legacy,L35,Reformer,rulesText,visual review of print card
legacy,L36,Pathfinder,rulesText,visual review of print card
